Dataset,Launch id,SMAPE metric test score,Fit minutes,Model name
cal_housing,0,24.795018540444282,0.022430933333333333,rfr
cal_housing,0,26.899838577130843,0.0073868,lgbmreg
cal_housing,1,24.789447972712107,0.023188216666666664,rfr
cal_housing,1,26.899838577130843,0.00734005,lgbmreg
cal_housing,2,24.63588519013566,0.024599233333333335,rfr
cal_housing,2,26.899838577130843,0.007888316666666667,lgbmreg
cal_housing,3,24.827478961252464,0.023943700000000002,rfr
cal_housing,3,26.899838577130843,0.0072429,lgbmreg
cal_housing,4,24.543904985438473,0.023596799999999998,rfr
cal_housing,4,26.899838577130843,0.0071810166666666665,lgbmreg
delta_ailerons,0,53.63737611533729,0.005558850000000001,rfr
delta_ailerons,0,50.922138440201785,0.0028592333333333337,lgbmreg
delta_ailerons,1,53.26319136336344,0.0061753,rfr
delta_ailerons,1,50.922138440201785,0.0028342333333333334,lgbmreg
delta_ailerons,2,53.481003029148624,0.00642905,rfr
delta_ailerons,2,50.922138440201785,0.0029255166666666667,lgbmreg
delta_ailerons,3,53.59293236617994,0.0063248666666666665,rfr
delta_ailerons,3,50.922138440201785,0.00287565,lgbmreg
delta_ailerons,4,53.292297263695595,0.00627505,rfr
delta_ailerons,4,50.922138440201785,0.002925933333333333,lgbmreg
pol,0,54.60333102247163,0.010474816666666666,rfr
pol,0,132.98659307778433,0.009118366666666666,lgbmreg
pol,1,54.280404661426786,0.01091285,rfr
pol,1,132.98659307778433,0.009650266666666666,lgbmreg
pol,2,56.484581134409154,0.010898133333333334,rfr
pol,2,132.98659307778433,0.011021533333333333,lgbmreg
pol,3,52.731749788695815,0.010775283333333333,rfr
pol,3,132.98659307778433,0.008986183333333333,lgbmreg
pol,4,54.80249223652756,0.0105964,rfr
pol,4,132.98659307778433,0.009117416666666666,lgbmreg
